"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2864STKA","journalArticle","2017","Kumar, Arun; Verma, Ankur","What Do We Know about Remonetisation?","Economic and Political Weekly","","","","","An analysis of publicly available data suggests that 98.8 per cent of demonetised currency was returned to the Reserve Bank of India by 13 January 2017. The data suggests a sharp slowdown in the remonetisation process in mid-December 2016, which reached only 80 per cent of what was demonetised by the end of April. Clearly, remonetisation has been far too slow, and its consequences on the informal economy, though invisible to official data, are a matter of serious economic, political and social concern.","2017","2020-06-11 10:45:58","2020-06-11 11:07:13","","","","24","52","","","","","","","","","","","All rights reserved","","","","","","Publisher: Economic and Political Weekly Type: Journal","","/home/ankur/bibliobase/kumar_verma_2017_what_do_we_know_about_remonetisation.pdf","","banking; demonetisation; monetary; self","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y9ZQF5B8","journalArticle","2020","Verma, Ankur","The Injustice of Child Mortality","Economic and Political Weekly","","","","","","2020","2020-06-11 10:48:05","2020-06-11 11:06:50","","","","14","55","","","","","","","","","","","All rights reserved","","","","","","Publisher: Economic and Political Weekly Type: Journal","","/home/ankur/bibliobase/verma_2020_the_injustice_of_child_mortality.pdf","","self; child_mortality; health; NRHM; review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LEAM4CWW","journalArticle","2020","Delbourg, Esther; Dinar, Shlomi","The globalization of virtual water flows: Explaining trade patterns of a scarce resource","World Development","","0305-750X","10.1016/j.worlddev.2020.104917","http://www.sciencedirect.com/science/article/pii/S0305750X20300437","Water availability is paramount for security and development, yet many countries suffer from water scarcity. Virtual water trade, or trade in water- embedded agricultural commodities, has been considered a means for countries to overcome water deficits provided they can import food rather than produce locally. Despite a rich literature, research on the subject has not reached a consensus on whether virtual water trade is actually driven by relative water endowment differentials (e.g. countries seeking to alleviate pressure on their own resources) or by comparative advantage in water utilization (e.g. countries using their most abundant and cheap factors of production). Understanding what drives virtual water trade would support water management policies in targeting the roots of water depletion: excessive use due to lack of other available inputs and bad water management due to absence of water use regulation. Using panel data of bilateral virtual water trade flows from 1994 to 2007 applied to a gravity model, we first demonstrate that arid countries do resort to trade as a means to alleviate water scarcity. Second, we demonstrate that there is much inefficiency in water use in some countries where other agricultural inputs (land, labor) are available and cheap. Given the increased urgency related to global water scarcity, our results suggest how agricultural production and trade could help countries preserve and better use precious water resources.","2020-07-01","2020-06-11 11:18:39","2020-06-11 11:18:43","2020-06-11 11:18:38","104917","","","131","","World Development","The globalization of virtual water flows","","","","","","","en","","","","","ScienceDirect","","","","/home/ankur/bibliobase/water/delbourg_dinar_2020_the_globalization_of_virtual_water_flows.pdf","","","Crop water requirements; Food security; International trade; Water endowments; Water productivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y5W5FSZG","journalArticle","2017","Kishore, Avinash; Joshi, PK; Pandey, Divya","Harnessing the sun for an evergreen revolution: a study of solar-powered irrigation in Bihar, India","Water International","","","10.1080/02508060.2017.1312085","https://doi.org/10.1080/02508060.2017.1312085","ABSTRACTIn 2012, the government of Bihar revived 34 non-functioning public tubewells using solar panels. The performance of 16 of these wells over 12 months was tracked and analyzed using data from tubewell operators and 240 farmers. Access to affordable irrigation from solar pumps led to a 9–10% increase in productivity of rice and wheat. Furthermore, in a severe drought, farmers could grow paddy in the entire area irrigated by solar pumps, when nearly 40% of other land was left fallow. Solar pumps can help increase crop productivity, reduce the cost of irrigation, and make agriculture more resilient to climate change.","2017","2020-06-11 17:49:53","2020-06-11 17:53:56","","291-307","","3","42","","","","","","","","","","","","","","","","","Publisher: Routledge tex.eprint: https://doi.org/10.1080/02508060.2017.1312085","","/home/ankur/bibliobase/phd/irrigation/kishore_et_2017_harnessing_the_sun_for_an_evergreen_revolution.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B6Y4I4QJ","journalArticle","2018","Patnaik, Ila; Roy, Shubho; Shah, Ajay","The rise of government-funded health insurance in India","National Institute of Public Finance and Policy","","","","https://ideas.repec.org/p/npf/wpaper/18-231.html","India has experienced a remarkable proliferation of 48 Government Funded Health Insurance Schemes (GFHIS) from 1997 to 2018. We place the rise of this policy pathway in historical perspective. Under colonial rule, there was considerable importance placed upon public health as a local public good. After independence, the Bhore Committee build a paradigm of public sector health care, and the public health system degraded. In this environment, the political process faced a high disease burden coupled with a weak public health care system. This pressure led to the adoption of GFHIS as a convenient way forward. We identify four areas of concern in this new paradigm of Indian health policy: inefficient lack of focus upon public health, regulatory problems with private health care, weak regulation of health insurance companies, and fiscal risk.","2018-05","2020-06-11 18:09:08","2020-06-11 18:10:13","","","","Working Paper 18/231","","","","","","","","","","","","","","","","","","Publisher: National Institute of Public Finance and Policy Type: Working papers tex.referencetype: artilce","","/home/ankur/bibliobase/health/health_insurance/patnaik_et_2018_the_rise_of_government-funded_health_insurance_in_india.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUK62C3R","blogPost","2020","Lempriere, Dr Max","6 Things New PhD Students Should Know","The PhD Proofreaders","","","","https://www.thephdproofreaders.com/writing/5-things-new-phd-students-should-know/","PhDs are all unique, but there are some things that PhD students should know before they start out. Here we present our top six.","2020-03-16","2020-06-11 18:12:18","2020-06-11 18:12:27","2020-06-11 18:12:18","","","","","","","","","","","","","","en-US","","","","","","","Library Catalog: www.thephdproofreaders.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVWW9ZBI","document","2020","Rawal, Vikas; Kumar, Manish; Verma, Ankur; Pais, Jesim","COVID-19 Lockdown: Impact on Agriculture and Rural Economy","","","","","http://archive.indianstatistics.org/sserwp/sserwp2003-rev.pdf","Lack of planning and preparation by the Central government for tackling the COVID-19 pandemic has dealt a massive blow to India’s economy and has caused enormous hardships to working people of the country.","2020-06","2020-06-11 18:47:17","2020-06-13 09:13:18","","","","","","","","","","","","","Society for Social and Economic Research","","","All rights reserved","","","","","","Monograph 20/3","","/home/ankur/bibliobase/rawal_et_2020_covid-19_lockdown.pdf","","Agriculture; covid; lockdown; SSER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCKBNLQZ","webpage","2019","Verma, Ankur","Claims versus Reality: Who Benefits from Government Funded Health Insurance?","International Development Economic Associates","","","","https://www.networkideas.org/news-analysis/2019/12/claims-versus-reality-who-benefits-from-government-funded-health-insurance/","","2019-12-05","2020-06-11 18:49:51","2020-06-11 19:13:07","2020-06-11 18:49:51","","","","","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WJLNA55X","webpage","2019","Patel, Suvidya","Claim versus Reality: Has India become open defecation free? – IDEAs","International Development Economic Associates","","","","https://www.networkideas.org/news-analysis/2019/11/claim-versus-reality-has-india-become-open-defecation-free/","The NSO survey results call the bluff peddled by PM Modi on Swachh Bharat mission.","2019-11-27","2020-06-11 19:10:51","2020-06-11 19:13:24","2020-06-11 19:10:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2R6VDC9","magazineArticle","2019","Patel, Suvidya","Claim versus Reality: Has India become open defecation free?","Macroscan","","","","https://new.macroscan.org/11/27/claim-versus-reality-has-india-become-open-defecation-free/","The NSS Report No 584, based on the 76th Round survey, calls the bluff peddled by the government on the achievements of Swachh Bharat Mission. In 2018, when the government was claiming that only 1.7 per cent rural households did not have latrines, the survey shows that it as many as 28.7 per cent.","2019-11-27","2020-06-11 19:15:31","2020-06-11 19:18:23","2020-06-11 19:15:31","","","","","","","Claim versus Reality","","","","","","","en-US","","","","","new.macroscan.org","","","","/home/ankur/bibliobase/patel_2019_claim_versus_reality.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5QL2E6F","webpage","2019","Patel, Suvidya","Claim Vs Reality: Has India Become Open Defecation Free?","NewsClick","","","","https://www.newsclick.in/claim-vs-reality-has-india-become-open-defecation-free","The NSO survey results call the bluff peddled by PM Modi on Swachh Bharat Mission.","2019-11-26","2020-06-11 19:20:46","2020-06-11 19:22:12","2020-06-11 19:20:46","","","","","","","","","","","","","","en","","","","","","","","","/home/ankur/Zotero/storage/KBEJEA3C/claim-vs-reality-has-india-become-open-defecation-free.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YAGNXMDK","webpage","2017","Patel, Suvidya","Lives of Peasants in India #10","NewsClick","","","","https://www.newsclick.in/lives-peasants-india-10","Jagdish Patel: A Middle Peasant From Madhya Pradesh.","2017-12-29","2020-06-11 19:22:12","2020-06-11 19:23:00","2020-06-11 19:22:12","","","","","","","","","","","","","","","","","","","","","","","/home/ankur/Zotero/storage/TKPM3S6T/lives-peasants-india-10.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U2WLQWK2","report","2015","Barenberg, Andrew J.; Basu, Deepankar; Soylu, Ceren","The effect of public health expenditure on infant mortality: Evidence from a panel of Indian states, 1983-84 to 2011-12","","","","","http://hdl.handle.net/10419/174392","Using a panel data set of Indian states between 1983-84 and 2011-12, this paper studies the impact of public health expenditure on the infant mortality rate (IMR), after controlling for other relevant covariates like per capita income, female literacy, and urbanization. We find that public expenditure on health care reduces IMR. Our baseline specification shows that an increase in public health expenditure by 1 percent of state-level GDP is associated with a reduction in the IMR by about 8 infant deaths per 1000 live births. We also find that female literacy and urbanization reduces the IMR.","2015","2020-06-11 20:18:19","2020-06-11 20:18:19","","","","","","","","","","","","","University of Massachusetts, Department of Economics","Amherst, MA","English","","Working paper","","","","","Citation Key: Barenberg2015effect tex.copyright: http://www.econstor.eu/dspace/Nutzungsbedingungen","","","","female literacy; India; infant mortality rate; public health expenditure","","","","","","","","","","","","","","","","","","","","2015-19","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2777A5YP","journalArticle","1955","Chandrasekhar, S","Some observations on infant mortality in India: 1901—1951","The Eugenics Review","","","","","","1955","2020-06-11 20:18:20","2020-06-11 20:18:20","","213","","4","46","","","","","","","","","","","","","","","","","Citation Key: chandrasekhar1955some Publisher: Oliver and Boyd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMFLZHCR","book","2002","Dreze, Jean; Sen, Amartya","India: Development and participation","","978-0-19-925749-2","","","https://books.google.co.in/books?id=UpOl35r8UHQC","","2002","2020-06-11 20:18:20","2020-06-11 20:25:54","","","","","","","","","","","","","Oxford University Press","","","","","","","","","Citation Key: drèze2002india tex.lccn: 2002301187","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SD7EJN53","journalArticle","1985","Jain, A.K.","Determinants of regional variations in infant mortality in rural india","Population Studies","","","10.1080/0032472031000141596","https://doi.org/10.1080/0032472031000141596","An analytical framework is specified for understanding the determinants of infant mortality. It distinguishes between factors at three levels – village, household and individual – and arranges them in ascending order with respect to their proximity to infant mortality. Village and household-level factors are assumed to influence infant mortality indirectly by influencing at least one of the six individual-level factors. The present analysis of the data aggregated at the state level clearly demonstrates the importance of both medical and non-medical factors for explaining the observed regional differences in infant mortality in rural India. The percentage of births attended by trained medical personnel and poverty, are the two important determinants of regional variations in neo-natal mortality; and the village-level availability of medical facilities and the extent of triple vaccination are the two important determinants of post-neo-natal mortality. The influence of adult women's literacy on infant mortality is explained by better medical care at birth, and preventive and curative medical care during the post-neo-natal period. Medical factors have been shown to be slightly more important than non-medical factors. This suggests that it might be possible to reduce the high level of infant mortality currently prevalent in many states in India by simple preventive medical interventions.","1985","2020-06-11 20:18:20","2020-06-12 08:09:34","","407-424","","3","39","","","","","","","","","","","","","","","","","Citation Key: jain85regional Publisher: Routledge tex.eprint: https://doi.org/10.1080/0032472031000141596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LH87SG76","journalArticle","2013","Narwal, Rajesh; Gram, Lu","Has the rate of reduction in infant mortality increased in india since the launch of national rural health mission? Analysis of time trends 2000-2009 with projection to 2015","International Journal of MCH and AIDS","","","","","","2013","2020-06-11 20:18:20","2020-06-11 20:18:20","","139","","1","2","","","","","","","","","","","","","","","","","Citation Key: narwal2013has Publisher: Global Health and Education Projects, Inc.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MXH8TJ7K","journalArticle","2017","The World Bank","World development indicators","","","","","","","2017","2020-06-11 20:18:21","2020-06-11 20:18:21","","","","","","","","","","","","","","","","","","","","","","Citation Key: WB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AV76ML3B","journalArticle","2018","Maji, Kamal Jyoti; Arora, Mohit; Dikshit, Anil Kumar","Premature mortality attributable to PM2.5 exposure and future policy roadmap for ‘airpocalypse’ affected Asian megacities","Process Safety and Environmental Protection","","0957-5820","https://doi.org/10.1016/j.psep.2018.07.009","http://www.sciencedirect.com/science/article/pii/S0957582018304786","Fine particulate matter, PM2.5, has been associated with significant health effects including cardiovascular diseases, lung diseases, cancer and premature deaths. The PM2.5-related health impacts are notable for megacities across the globe, but Asian megacities have been suffering much more. The Phenomenon of smog-hit cities became so common recently that the term ‘airpocalypse’ has become synonymous with polluted air. This study reports PM2.5-related long-term mortality for the year 2016 in 13 megacities of China, India, Bangladesh and Pakistan using an integrated exposure risk (IER) model. This study assesses the mortality associated with health outcomes attributable to PM2.5 particularly: cerebrovascular disease (stroke, CEV), ischemic heart disease (IHD), chronic obstructive pulmonary disease (COPD) and lung cancer (LC) among adults (≥25years) and the acute lower respiratory infection (ALRI) for infants (¡5years). It further provides an estimation of the potential health benefits in future years under various scenarios realizing the PM2.5 concentration levels of (a) the goals of Air Pollution Prevention and Control Action Plan target (APPCAP) for China; (b) current policies (CP) and best practice emission control (BPEC) scenarios and (c) Interim Targets (ITs) and Air Quality Guidelines (AQG) for PM2.5 for all megacities. It is estimated that in 2016, PM2.5-related mortality in Shanghai, Beijing, Chongqing, Tianjin, Guangzhou and Shenzhen was 17.6, 18.2, 10.4, 9.8, 7.6 and 6.4 thousand respectively. In Indian megacities, the premature deaths were 14.8, 10.5, 7.3, 4.8 and 4.8 thousand in Delhi, Mumbai, Kolkata, Bangalore and Chennai respectively. Total mortality in Dhaka and Karachi was estimated to be 9.1 and 7.7 thousand. The CP is not enough to protect the public health in future in all the megacities. In China, PM2.5 levels will reduce under CP but PM2.5-related deaths will increase by 14–30%, primarily due to increase in overall population growth and urban migration patterns. In other megacities, the PM2.5-related deaths will increase by 39.32 to 85% in CP scenario, mostly due to the increase of PM2.5 in CP scenario. Though China has taken initial steps with pollution control targets and strategy, there is an urgent need for government policy in India, Bangladesh and Pakistan. This study highlights the need for urgency in setting up decisive air quality targets by megacity authorities and advocates for joint regional efforts to control air pollution.","2018","2020-06-11 20:18:21","2020-06-11 20:18:21","","","","","","","","","","","","","","","","","","","","","","Citation Key: MAJI2018","","","","Asian megacity; current policies; PM pollution; premature mortality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y9TYR5MG","journalArticle","","Department of Health and Family Welfare","Annual report 2017-18","","","","","https://mohfw.gov.in/basicpage/annual-report-department-health-and-family-welfare-2017-18","","","2020-06-11 20:18:21","2020-06-11 20:18:21","","","","","","","","","","","","","","","","","","","","","","Citation Key: mohfwreport","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IH2KJHW","journalArticle","2017","Ministry of Health and Family Welfare, Government of India","National health accounts estimates for india","","","","","https://mohfw.gov.in/newshighlights/national-health-accounts-estimates-india-2014-15","","2017","2020-06-11 20:18:21","2020-06-11 20:18:21","","","","","","","","","","","","","","","","","","","","","","Citation Key: nha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z8VDNVY6","report","1983","Ministry of Health and Family Welfare","National health policy, 1983","","","","","https://www.nhp.gov.in/sites/default/files/pdf/nhp_1983.pdf","","1983","2020-06-11 20:18:21","2020-06-11 20:18:21","","","","","","","","","","","","","","","","","","","","","","Citation Key: nhp83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RC6GD3KQ","journalArticle","2017","Ghosh, Soumitra; Gupta, Nabanita Dattta","Targeting and effects of rashtriya swasthya bima yojana on access to care and financial protection","Economic and Political Weekly","","","","","This article provides evidence on the impact of the Rashtriya Swasthya Bima Yojana on access to healthcare and financial risk protection; its coverage across selected states and whether the targeting is effective. Overall, just about 11per cent of households were enrolled and almost half of these households actually belonged to the non-poor category. Although the scheme has increased hospitalisation rate, we do not know if it has enabled people to access the “genuinely needed” inpatient care which they could not afford earlier or whether hospitals are inducing the demand by suggesting unnecessary inpatient care to the people. Disturbingly, it has hardly had any effects on financial protection. These evidences unequivocally indicate that targeted health insurance coupled with a healthcare delivery system dominated by private providers cannot be the means to achieve universal healthcare.","2017","2020-06-11 20:18:22","2020-06-11 20:18:22","","","","Issue No. 4","Vol. 52","","","","","","","","","","","","","","","","","Citation Key: ghoshdutta Publisher: Economic and Political Weekly Type: Journal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEMI6PXQ","journalArticle","2017","Mishra, S. K.; Ram, Bali; Singh, Abhishek; Yadav, Awdhesh","Birth order, stage of infancy and infant mortality in india","Journal of Biosocial Science","","","10.1017/S0021932017000487","","","2017","2020-06-11 20:18:22","2020-06-11 20:18:22","","1–22","","","","","","","","","","","","","","","","","","","","Citation Key: mishra Publisher: Cambridge University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
